Case_ID,Person_ID,Age_Group,Gender,Last_Latitude,Last_Longitude,Last_Seen_Time,Day,Weather,Usual_Area,Average_Distance,Average_Speed,Previous_Area,Time_Since_Last_Seen,Target_Area
MP-2026-019,8,2,0,39.861149,116.338816,04:57,5,1,3,72.64,2.95,3,56,3
MP-2026-020,1,2,0,39.878587,116.427861,17:01,1,0,1,81.83,9.83,1,1,4
MP-2026-021,3,0,0,39.898685,116.503278,07:43,4,1,1,72.19,2.8,2,55,1
MP-2026-022,8,3,0,39.903252,116.323045,09:37,3,0,3,72.64,2.95,3,16,3
MP-2026-023,1,3,1,39.924905,116.532751,11:05,4,1,1,81.83,9.83,1,19,3
MP-2026-024,10,2,1,39.983934,116.490083,19:19,0,0,1,67.92,2.78,4,1,1
MP-2026-025,9,0,0,39.962355,116.527663,10:59,4,1,1,81.19,3.27,1,2,1
MP-2026-026,1,3,0,39.861288,116.45268,23:04,4,0,1,81.83,9.83,4,19,1
MP-2026-027,3,5,0,39.919623,116.528073,21:55,2,2,1,72.19,2.8,1,36,4
MP-2026-028,6,4,1,40.107377,116.261941,17:34,0,0,2,76.25,3.11,2,66,0
MP-2026-029,6,2,1,40.107371,116.261949,17:40,1,1,2,76.25,3.11,0,48,2
MP-2026-030,4,5,0,39.810601,116.412,19:02,4,0,4,77.15,8.92,4,22,2
MP-2026-031,6,1,1,40.107362,116.26194,15:07,0,1,2,76.25,3.11,2,28,0
MP-2026-032,1,1,0,39.87809,116.499324,09:47,1,1,1,81.83,9.83,4,17,1
MP-2026-033,5,3,0,39.979914,116.225473,12:40,6,1,2,77.99,3.48,4,60,2
MP-2026-034,1,5,0,39.924914,116.532748,11:20,4,0,1,81.83,9.83,1,54,1
MP-2026-035,10,0,0,39.983971,116.490101,16:23,0,0,1,67.92,2.78,1,27,1
MP-2026-036,10,5,1,39.983979,116.490108,11:39,0,0,1,67.92,2.78,1,42,1
MP-2026-037,7,3,0,39.966673,116.41201,19:24,4,1,0,66.16,2.71,0,45,0
MP-2026-038,4,4,0,39.860874,116.405673,04:45,2,0,4,77.15,8.92,3,66,2
MP-2026-039,7,0,0,40.00149,116.410237,14:21,1,0,0,66.16,2.71,0,70,0
MP-2026-040,6,3,0,40.039627,116.382998,11:07,5,1,2,76.25,3.11,0,68,2
MP-2026-041,6,1,1,40.107362,116.26194,08:29,1,0,2,76.25,3.11,2,30,0
MP-2026-042,3,2,0,39.919647,116.527929,13:18,1,0,1,72.19,2.8,0,62,1
MP-2026-043,7,5,0,40.001495,116.410237,18:52,3,1,0,66.16,2.71,0,48,4
MP-2026-044,9,3,0,39.91689,116.382675,17:38,0,0,1,81.19,3.27,1,26,1
MP-2026-045,3,2,1,39.928273,116.481523,00:13,1,0,1,72.19,2.8,1,62,1
MP-2026-046,4,3,1,39.810603,116.411985,06:47,6,1,4,77.15,8.92,2,23,4
MP-2026-047,10,0,0,39.983986,116.490109,22:35,6,1,1,67.92,2.78,1,58,4
MP-2026-048,1,0,1,39.878087,116.499322,18:15,2,1,1,81.83,9.83,1,24,4
MP-2026-049,2,3,1,39.99674,116.563154,17:32,2,1,1,79.64,3.82,1,65,4
MP-2026-050,1,3,1,39.939161,116.23505,21:43,5,0,1,81.83,9.83,1,35,1
MP-2026-051,7,0,0,39.966664,116.412002,11:25,6,0,0,66.16,2.71,0,7,2
MP-2026-052,4,1,1,39.810599,116.411984,18:44,1,1,4,77.15,8.92,4,36,3
MP-2026-053,10,5,1,40.008321,116.534859,19:34,6,0,1,67.92,2.78,1,24,1
MP-2026-054,7,5,1,40.001495,116.410231,16:11,0,3,0,66.16,2.71,4,30,0
MP-2026-055,1,5,0,39.878583,116.427862,15:47,5,0,1,81.83,9.83,1,12,1
MP-2026-056,9,4,1,39.916882,116.382764,12:27,3,1,1,81.19,3.27,1,16,4
MP-2026-057,5,2,1,39.956328,116.491422,11:24,5,2,2,77.99,3.48,2,16,2
MP-2026-058,9,0,1,39.927132,116.217742,06:41,3,0,1,81.19,3.27,1,35,1
MP-2026-059,7,2,1,40.001491,116.41025,12:17,0,1,0,66.16,2.71,2,7,0
MP-2026-060,8,0,0,39.861129,116.33883,13:26,1,0,3,72.64,2.95,3,8,2
MP-2026-061,1,5,1,39.878073,116.499331,19:06,0,0,1,81.83,9.83,1,31,2
MP-2026-062,3,1,0,39.999597,116.229397,12:38,3,0,1,72.19,2.8,1,67,1
MP-2026-063,2,2,0,39.996741,116.563139,16:19,1,1,1,79.64,3.82,1,1,2
MP-2026-064,3,2,1,39.898669,116.503331,09:56,1,1,1,72.19,2.8,1,6,1
MP-2026-065,10,3,1,40.008313,116.534858,23:44,2,1,1,67.92,2.78,1,36,1
MP-2026-066,3,5,1,39.898673,116.503334,23:17,0,1,1,72.19,2.8,1,54,1
MP-2026-067,6,1,0,40.107359,116.261939,21:56,3,0,2,76.25,3.11,0,24,2
MP-2026-068,5,0,0,39.937639,116.498151,08:35,6,1,2,77.99,3.48,2,41,1
MP-2026-069,4,5,1,39.810609,116.411996,18:16,6,1,4,77.15,8.92,4,29,4
MP-2026-070,3,5,0,39.919626,116.528067,22:04,1,2,1,72.19,2.8,4,5,3
MP-2026-071,7,5,1,39.885845,116.391587,15:46,4,0,0,66.16,2.71,0,59,4
MP-2026-072,1,1,1,40.037622,116.200391,04:40,5,0,1,81.83,9.83,1,6,1
MP-2026-073,1,1,1,39.87809,116.499324,23:37,4,3,1,81.83,9.83,4,17,1
MP-2026-074,5,1,1,39.956357,116.491356,09:00,4,0,2,77.99,3.48,2,32,2
MP-2026-075,2,0,0,39.954843,116.513496,10:38,4,3,1,79.64,3.82,1,50,1
MP-2026-076,1,4,1,39.924908,116.532746,23:29,6,0,1,81.83,9.83,1,47,1
MP-2026-077,7,0,1,39.966665,116.41202,19:13,5,0,0,66.16,2.71,2,38,0
MP-2026-078,2,1,1,39.954858,116.51351,17:14,3,0,1,79.64,3.82,1,38,1
MP-2026-079,1,0,1,39.878081,116.499313,22:29,0,3,1,81.83,9.83,1,10,1
MP-2026-080,8,2,0,39.861119,116.338816,15:59,1,1,3,72.64,2.95,3,66,2
MP-2026-081,3,1,0,39.919602,116.528021,07:54,0,0,1,72.19,2.8,1,4,1
MP-2026-082,8,1,1,39.861154,116.338822,21:02,3,1,3,72.64,2.95,3,51,2
MP-2026-083,3,0,1,39.999581,116.229416,08:27,1,1,1,72.19,2.8,2,5,1
MP-2026-084,9,5,0,39.962311,116.527578,09:33,6,0,1,81.19,3.27,1,26,1
MP-2026-085,9,4,1,39.947611,116.467361,17:46,3,0,1,81.19,3.27,1,26,1
MP-2026-086,4,3,0,39.890327,116.327757,05:34,5,0,4,77.15,8.92,4,14,4
MP-2026-087,10,0,1,39.876212,116.377513,12:23,1,0,1,67.92,2.78,1,7,4
MP-2026-088,3,2,1,39.919602,116.528021,20:42,2,0,1,72.19,2.8,1,15,1
MP-2026-089,9,5,1,40.023134,116.436072,12:09,5,0,1,81.19,3.27,1,44,1
MP-2026-090,9,0,1,39.962369,116.527676,17:03,0,1,1,81.19,3.27,1,34,1
MP-2026-091,8,0,1,40.018508,116.228163,14:18,6,2,3,72.64,2.95,2,64,3
MP-2026-092,2,4,1,39.996746,116.563159,12:44,3,0,1,79.64,3.82,1,21,0
MP-2026-093,6,4,1,40.031304,116.47061,10:03,1,3,2,76.25,3.11,2,24,0
MP-2026-094,7,3,0,40.001487,116.410237,05:50,3,2,0,66.16,2.71,0,4,0
MP-2026-095,6,4,1,40.107346,116.261943,10:55,2,3,2,76.25,3.11,2,8,2
MP-2026-096,10,4,0,39.866391,116.4569,20:04,6,1,1,67.92,2.78,1,20,1
MP-2026-097,1,4,0,39.939145,116.235028,06:25,1,1,1,81.83,9.83,1,3,1
MP-2026-098,1,3,1,39.941808,116.316772,12:09,4,0,1,81.83,9.83,1,40,3
MP-2026-099,2,5,1,40.01736,116.424165,10:36,1,1,1,79.64,3.82,1,38,1
MP-2026-100,7,4,0,40.001431,116.410228,06:04,3,0,0,66.16,2.71,4,9,0
