user_id,grid_cell,grid_lat,grid_lon,visit_frequency,avg_dwell_time_minutes,most_common_hour,most_common_day
9,39.917_116.383,39.917,116.383,14,69.7508852452381,12,1
9,39.927_116.218,39.927,116.218,12,91.05293056944446,10,6
9,39.948_116.467,39.948,116.467,53,187.80343640471696,8,0
9,39.948_116.468,39.948,116.468,1,6.723025916666667,20,0
9,39.962_116.527,39.962,116.527,2,5.25,18,2
9,39.962_116.528,39.962,116.528,48,536.0266526128472,19,5
9,40.023_116.436,40.023,116.436,3,115.79956542222222,8,0
9,40.024_116.211,40.024,116.211,8,42.13543833958333,12,0
9,40.037_116.219,40.037,116.219,5,60.45144815333333,14,1
10,39.866_116.457,39.866,116.457,20,67.06299574083334,13,0
10,39.876_116.377,39.876,116.377,16,57.37629965000001,13,2
10,39.876_116.378,39.876,116.378,4,18.71469425833333,13,0
10,39.877_116.378,39.877,116.378,1,6.2928327,12,3
10,39.918_116.431,39.918,116.431,8,85.36736025416667,14,0
10,39.919_116.431,39.919,116.431,11,41.65442482272727,12,0
10,39.943_116.28,39.943,116.28,9,80.67582314999999,9,5
10,39.957_116.53,39.957,116.53,2,74.44208532500001,8,6
10,39.984_116.49,39.984,116.49,97,186.28024093659795,8,0
10,40.008_116.535,40.008,116.535,75,611.4491885875557,19,1
